rank,card_index,name,hp,type,win_rate,top4_rate,wins,top4,participations
1,19,Farfetch'd,50,Colorless,0.472678,0.783159,1903,3153,4026
2,66,Hitmonchan,70,Fighting,0.344787,0.722523,1465,3070,4249
3,22,Chansey,120,Colorless,0.235806,0.640251,976,2650,4139
4,7,Zapdos,90,Electric,0.219708,0.603406,903,2480,4110
5,12,Electabuzz,70,Electric,0.208601,0.584034,844,2363,4046
6,50,Nidoran ♂,40,Grass,0.181907,0.569257,742,2322,4079
7,40,Charmander,50,Fire,0.164132,0.571148,669,2328,4076
8,47,Machop,50,Fighting,0.144691,0.511852,586,2073,4050
9,29,Magmar,50,Fire,0.112282,0.493258,458,2012,4079
10,48,Magnemite,40,Electric,0.100048,0.440407,413,1818,4128
11,24,Jynx,70,Psychic,0.082949,0.431482,342,1779,4123
12,53,Pikachu,40,Electric,0.038192,0.331400,158,1371,4137
13,41,Diglett,30,Fighting,0.029433,0.252077,124,1062,4213
14,61,Staryu,40,Water,0.028098,0.354992,112,1415,3986
15,51,Onix,90,Fighting,0.024658,0.311035,101,1274,4096
16,57,Rattata,30,Colorless,0.010836,0.265110,45,1101,4153
17,56,Ponyta,40,Fire,0.008774,0.210334,36,863,4103
18,42,Doduo,50,Colorless,0.008405,0.184438,35,768,4164
19,35,Seel,60,Water,0.006495,0.227579,26,911,4003
20,62,Tangela,50,Grass,0.006453,0.247610,27,1036,4184
21,20,Growlithe,60,Fire,0.004401,0.221760,18,907,4090
22,58,Sandshrew,40,Fighting,0.001223,0.064319,5,263,4089
23,43,Drowzee,50,Psychic,0.000736,0.113402,3,462,4074
24,38,Bulbasaur,40,Grass,0.000733,0.119257,3,488,4092
25,63,Voltorb,40,Electric,0.000494,0.054087,2,219,4049
26,52,Pidgey,40,Colorless,0.000485,0.032970,2,136,4125
27,59,Squirtle,40,Water,0.000244,0.061632,1,253,4105
28,18,Dratini,40,Colorless,0.000239,0.064385,1,269,4178
29,64,Vulpix,50,Fire,0.000000,0.039789,0,166,4172
30,45,Gastly,30,Psychic,0.000000,0.000238,0,1,4195
31,54,Poliwag,40,Water,0.000000,0.042471,0,176,4144
32,32,Porygon,30,Colorless,0.000000,0.000248,0,1,4026
33,28,Magikarp,30,Water,0.000000,0.013490,0,55,4077
34,44,Clefairy,40,Colorless,0.000000,0.001239,0,5,4035
35,46,Koffing,50,Grass,0.000000,0.038172,0,157,4113
36,1,Mewtwo,60,Psychic,0.000000,0.064563,0,268,4151
37,37,Abra,30,Psychic,0.000000,0.004403,0,18,4088
38,39,Caterpie,40,Grass,0.000000,0.038818,0,155,3993
39,65,Weedle,40,Grass,0.000000,0.037438,0,152,4060
